C0	geo	text	user	location	entities	sentiment	country
1	State	Country	Lat	Long	Date	Confirmed	Death
2		Thailand	15.0	101.0	2020-01-22	2	0
3		Nepal	28.1667	84.25	2020-01-22	0	0
4		Malaysia	2.5	112.5	2020-01-22	0	0
5	British Columbia	Canada	49.2827	-123.1207	2020-01-22	0	0
6	New South Wales	Australia	-33.8688	151.2093	2020-01-22	0	0
7	Victoria	Australia	-37.8136	144.9631	2020-01-22	0	0
8	Queensland	Australia	-28.0167	153.4	2020-01-22	0	0
9		Cambodia	11.55	104.9167	2020-01-22	0	0
10		Sri Lanka	7.0	81.0	2020-01-22	0	0
11		Germany	51.0	9.0	2020-01-22	0	0
12		Finland	64.0	26.0	2020-01-22	0	0
13		United Arab Emirates	24.0	54.0	2020-01-22	0	0
14		Philippines	13.0	122.0	2020-01-22	0	0
15		India	21.0	78.0	2020-01-22	0	0
16		Italy	43.0	12.0	2020-01-22	0	0
17		Sweden	63.0	16.0	2020-01-22	0	0
18		Spain	40.0	-4.0	2020-01-22	0	0
19	South Australia	Australia	-34.9285	138.6007	2020-01-22	0	0
20		Belgium	50.8333	4.0	2020-01-22	0	0
21		Egypt	26.0	30.0	2020-01-22	0	0
22	From Diamond Princess	Australia	35.4437	139.638	2020-01-22	0	0
23		Lebanon	33.8547	35.8623	2020-01-22	0	0
24		Iraq	33.0	44.0	2020-01-22	0	0
25		Oman	21.0	57.0	2020-01-22	0	0
26		Afghanistan	33.0	65.0	2020-01-22	0	0
27		Bahrain	26.0275	50.55	2020-01-22	0	0
28		Kuwait	29.5	47.75	2020-01-22	0	0
29		Algeria	28.0339	1.6596	2020-01-22	0	0
30		Croatia	45.1	15.2	2020-01-22	0	0
31		Switzerland	46.8182	8.2275	2020-01-22	0	0
32		Austria	47.5162	14.5501	2020-01-22	0	0
33		Israel	31.0	35.0	2020-01-22	0	0
34		Pakistan	30.3753	69.3451	2020-01-22	0	0
35		Brazil	-14.235	-51.9253	2020-01-22	0	0
36		Georgia	42.3154	43.3569	2020-01-22	0	0
37		Greece	39.0742	21.8243	2020-01-22	0	0
38		North Macedonia	41.6086	21.7453	2020-01-22	0	0
39		Norway	60.472	8.4689	2020-01-22	0	0
40		Romania	45.9432	24.9668	2020-01-22	0	0
41		Estonia	58.5953	25.0136	2020-01-22	0	0
42		San Marino	43.9424	12.4578	2020-01-22	0	0
43		Belarus	53.7098	27.9534	2020-01-22	0	0
44		Iceland	64.9631	-19.0208	2020-01-22	0	0
45		Lithuania	55.1694	23.8813	2020-01-22	0	0
46		Mexico	23.6345	-102.5528	2020-01-22	0	0
47		New Zealand	-40.9006	174.886	2020-01-22	0	0
48		Nigeria	9.082	8.6753	2020-01-22	0	0
49	Western Australia	Australia	-31.9505	115.8605	2020-01-22	0	0
50		Ireland	53.1424	-7.6921	2020-01-22	0	0
51		Luxembourg	49.8153	6.1296	2020-01-22	0	0
52		Monaco	43.7333	7.4167	2020-01-22	0	0
53		Qatar	25.3548	51.1839	2020-01-22	0	0
54		Ecuador	-1.8312	-78.1834	2020-01-22	0	0
55		Azerbaijan	40.1431	47.5769	2020-01-22	0	0
56		Armenia	40.0691	45.0382	2020-01-22	0	0
57		Dominican Republic	18.7357	-70.1627	2020-01-22	0	0
58		Indonesia	-0.7893	113.9213	2020-01-22	0	0
59		Portugal	39.3999	-8.2245	2020-01-22	0	0
60		Andorra	42.5063	1.5218	2020-01-22	0	0
61	Tasmania	Australia	-41.4545	145.9707	2020-01-22	0	0
62		Latvia	56.8796	24.6032	2020-01-22	0	0
63		Morocco	31.7917	-7.0926	2020-01-22	0	0
64		Saudi Arabia	24.0	45.0	2020-01-22	0	0
65		Senegal	14.4974	-14.4524	2020-01-22	0	0
66		Argentina	-38.4161	-63.6167	2020-01-22	0	0
67		Chile	-35.6751	-71.543	2020-01-22	0	0
68		Jordan	31.24	36.51	2020-01-22	0	0
69		Ukraine	48.3794	31.1656	2020-01-22	0	0
70		Hungary	47.1625	19.5033	2020-01-22	0	0
71	Northern Territory	Australia	-12.4634	130.8456	2020-01-22	0	0
72		Liechtenstein	47.14	9.55	2020-01-22	0	0
73		Poland	51.9194	19.1451	2020-01-22	0	0
74		Tunisia	34.0	9.0	2020-01-22	0	0
75		Bosnia and Herzegovina	43.9159	17.6791	2020-01-22	0	0
76		Slovenia	46.1512	14.9955	2020-01-22	0	0
77		South Africa	-30.5595	22.9375	2020-01-22	0	0
78		Bhutan	27.5142	90.4336	2020-01-22	0	0
79		Cameroon	3.8480000000000003	11.5021	2020-01-22	0	0
80		Colombia	4.5709	-74.2973	2020-01-22	0	0
81		Costa Rica	9.7489	-83.7534	2020-01-22	0	0
82		Peru	-9.19	-75.0152	2020-01-22	0	0
83		Serbia	44.0165	21.0059	2020-01-22	0	0
84		Slovakia	48.669	19.699	2020-01-22	0	0
85		Togo	8.6195	0.8248	2020-01-22	0	0
86		Malta	35.9375	14.3754	2020-01-22	0	0
87		Martinique	14.6415	-61.0242	2020-01-22	0	0
88		Bulgaria	42.7339	25.4858	2020-01-22	0	0
89		Maldives	3.2028	73.2207	2020-01-22	0	0
90		Bangladesh	23.685	90.3563	2020-01-22	0	0
91		Paraguay	-23.4425	-58.4438	2020-01-22	0	0
92	Ontario	Canada	51.2538	-85.3232	2020-01-22	0	0
93	Alberta	Canada	53.9333	-116.5765	2020-01-22	0	0
94	Quebec	Canada	52.9399	-73.5491	2020-01-22	0	0
95		Albania	41.1533	20.1683	2020-01-22	0	0
96		Cyprus	35.1264	33.4299	2020-01-22	0	0
97		Brunei	4.5353	114.7277	2020-01-22	0	0
98	Washington	US	47.4009	-121.4905	2020-01-22	0	0
99	New York	US	42.1657	-74.9481	2020-01-22	0	0
100	California	US	36.1162	-119.6816	2020-01-22	0	0
101	Massachusetts	US	42.2302	-71.5301	2020-01-22	0	0
102	Diamond Princess	US	35.4437	139.638	2020-01-22	0	0
103	Grand Princess	US	37.6489	-122.6655	2020-01-22	0	0
104	Georgia	US	33.0406	-83.6431	2020-01-22	0	0
105	Colorado	US	39.0598	-105.3111	2020-01-22	0	0
106	Florida	US	27.7663	-81.6868	2020-01-22	0	0
107	New Jersey	US	40.2989	-74.521	2020-01-22	0	0
